Warehouse,Item,Item Description,Inventory Status,Lot,On Hand Qty,Allocated Qty,In Transit Qty,Company,Aging Date
Brampton,LX0810BLK,Americanflat 8x10 Picture Frame in Black - Displays 5x7 With Mat and 8x10 Without Mat - Horizontal a,Available,,120,0,0,AMFLAT,2026-01-16T18:32:26.523
Brampton,LX0810WHTNOMAT,Americanflat 8x10 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border P,Available,,120,0,0,AMFLAT,2025-04-14T14:01:20.91
Brampton,LX0816BLKNOMAT,Unusual Sizes' in LX without mat - 8x16,Available,,108,0,0,AMFLAT,2026-01-14T19:24:18.573
Brampton,LX0824BLKNOMAT,Unusual Sizes' in LX without mat - 8x24,Available,,6,0,0,AMFLAT,2026-01-16T19:40:04.667
Brampton,LX0912BLK-2PACK,Americanflat 9x12 Picture Frame in Black - Displays 6x8 With Mat and 9x12 Without Mat - Horizontal a,Available,,216,0,0,AMFLAT,2025-04-14T14:03:23.74
Brampton,LX0912BLK-2PACK,Americanflat 9x12 Picture Frame in Black - Displays 6x8 With Mat and 9x12 Without Mat - Horizontal a,Available,,72,0,0,AMFLAT,2025-04-14T14:03:23.74
Brampton,LX0912BLKNOMAT,LX without mat more sizes - 9x12,Available,,168,0,0,AMFLAT,2025-04-14T14:04:05.283
Brampton,LX0912WHT68,Americanflat 9x12 Picture Frame with Shatter-Resistant Glass - Use as 6x8 Frame with Mat or 9x12 Fra,Available,,24,24,0,AMFLAT,2026-01-14T19:23:35.16
Brampton,LX0912WHTNOMAT,Americanflat 9x12 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border P,Available,,132,0,0,AMFLAT,2025-04-14T14:06:03.13
Brampton,LX1010BLKNOMAT,Americanflat 10x10 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border,Available,,144,0,0,AMFLAT,2025-04-16T20:18:12.38
Brampton,LX1114BLKNOMAT,LX without mat more sizes - 11x14,Available,,60,0,0,AMFLAT,2025-04-11T14:54:33.593
Brampton,LX1114BLKNOMAT,LX without mat more sizes - 11x14,Available,,60,60,0,AMFLAT,2025-04-11T14:54:33.593
Brampton,LX1114WHT0811,Americanflat 11x14 Picture Frame with Shatter-Resistant Glass - Use as 8x11 Frame with Mat or 11x14,Available,,288,0,0,AMFLAT,2025-04-11T14:54:18.22
Brampton,LX1114WHTNOMAT,Americanflat 11x14 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border,Available,,204,0,0,AMFLAT,2025-04-11T14:53:54.087
Brampton,LX1114WHTNOMAT,Americanflat 11x14 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border,Available,,24,0,0,AMFLAT,2025-04-11T14:53:54.087
Brampton,LX1114WHTNOMAT,Americanflat 11x14 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border,Available,,24,24,0,AMFLAT,2025-04-11T14:53:54.087
Brampton,LX1114WHTNOMAT,Americanflat 11x14 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Border,Available,,72,0,0,AMFLAT,2025-04-11T14:53:54.087
Brampton,LX1215BLKNOMAT,Unusual Sizes' in LX without mat - 12x15,Available,,24,24,0,AMFLAT,2025-04-11T15:10:38.28
Brampton,LX1215BLKNOMAT,Unusual Sizes' in LX without mat - 12x15,Available,,264,0,0,AMFLAT,2025-04-11T15:10:38.28
Brampton,LX1216BLKNOMAT,LX without mat more sizes - 12x16,Available,,48,0,0,AMFLAT,2025-04-02T16:52:27.47
Brampton,LX1216WHTNOMAT,Americanflat 12x16 Picture Frame with Polished Plexiglass - Streamline Collection - Thin Border Pict,Available,,96,0,0,AMFLAT,2025-04-03T15:28:11.567
Brampton,LX1313BLKNOMAT,Unusual Sizes' in LX without mat - 13x13,Available,,168,0,0,AMFLAT,2025-04-11T15:16:02.163
Brampton,LX1316BLK912,LX 12x16 with 912 mat,Available,,192,0,0,AMFLAT,2025-04-11T15:15:49.31
Brampton,LX1316BLK912,LX 12x16 with 912 mat,Available,,108,0,0,AMFLAT,2026-01-15T21:31:19.727
Brampton,LX1319WHTNOMAT,Americanflat 13x19 Picture Frame with Polished Plexiglass - Streamline Collection - Thin Border Pict,Available,,12,0,0,AMFLAT,2025-04-11T15:14:56.243
Brampton,LX1420BLK1117,Americanflat 14x20 Picture Frame with Polished Plexiglass - Use as 11x17 Frame with Mat or 14x20 Fra,Available,,156,0,0,AMFLAT,2025-04-11T15:13:28.28
Brampton,LX1616BLKNOMAT,Americanflat 16x16 Picture Frame with Polished Plexiglass - Streamline Collection - Thin Square Pict,Available,,144,0,0,AMFLAT,2025-04-11T15:12:18.007
Brampton,LX1616BLKNOMAT,Americanflat 16x16 Picture Frame with Polished Plexiglass - Streamline Collection - Thin Square Pict,Available,,24,0,0,AMFLAT,2025-04-11T15:12:18.007
Brampton,LX1616WHT57,Americanflat 16x16 Picture Frame with Plexiglass - Use as 5x7 Frame with Mat or 16x16 Frame Without,Available,,70,70,0,AMFLAT,2026-01-14T19:21:47.657
Brampton,LX1616WHT57,Americanflat 16x16 Picture Frame with Plexiglass - Use as 5x7 Frame with Mat or 16x16 Frame Without,Available,,10,0,0,AMFLAT,2026-01-14T19:21:47.657
Brampton,LX1620WHT1114,Americanflat 16x20 Picture Frame with Polished Plexiglass - Use as 11x14 Frame with Mat or 16x20 Fra,Available,,132,0,0,AMFLAT,2025-04-02T16:45:14.86
