defect,detail,title,size,category,upc,sku,price,in_stock,url,offer_id
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Driftwood / Oval,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581612102
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Gold / Oval,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581677638
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Natural Oak / Oval,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581644870
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Pink / Waves,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582234694
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Purple / Waves,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582201926
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Silver / Arched,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580825670
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Silver / Oval,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581710406
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Walnut / Oval,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581743174
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / White,8x10,Picture Frame,,,24.99,yes,https://americanflat.com/products/picture-frame-with-mat-engineered-wood-shatter-resistant-glass-wall-art,shopify_US_8396449546310_45042149982278
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / White / Arched,8x10,Picture Frame,00810131996994,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579580486
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / White / Waves,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582300230
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / Driftwood / 1 Pack,8x16,Picture Frame,00850038117184,,12.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582660678
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / Driftwood / 3 Opening,8x16,Picture Frame,00850038117221,,13.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211583414342
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / Lightwood / 1 Pack,8x16,Picture Frame,00850038117191,,8.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582693446
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / Lightwood / 3 Opening,8x16,Picture Frame,00850038117238,,17.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211583479878
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / Walnut / 1 Pack,8x16,Picture Frame,00850038117207,,12.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582627910
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / Walnut / 3 Opening,8x16,Picture Frame,00850038117245,,17.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211583447110
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / White / 1 Pack,8x16,Picture Frame,00850038117214,,12.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582726214
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x16 / White / 3 Opening,8x16,Picture Frame,00850038117252,,16.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211583512646
